,latitude,Cc,Ce,Bc,Be
20,20.0,0.00289269160592,2.02031191821,15.3278198784,0.918628802645
21,21.0,0.00291150268201,2.02075122074,15.2150696157,0.918627664894
22,22.0,0.00293180491316,2.02119279367,15.1004236078,0.918626565448
23,23.0,0.00295365873963,2.02163693789,14.9837792477,0.918625504266
24,24.0,0.00297713071047,2.02208396132,14.8650281976,0.918624481413
25,25.0,0.00300229408293,2.02253417974,14.7440558569,0.91862349707
26,26.0,0.00302922950701,2.02298791776,14.6207407754,0.918622551532
27,27.0,0.00305802580872,2.02344550986,14.494954003,0.918621645214
28,28.0,0.00308878088863,2.02390730146,14.3665583687,0.918620778662
29,29.0,0.00312160275514,2.02437365003,14.2354076782,0.91861995255
30,30.0,0.00315661071636,2.02484492634,14.1013458186,0.918619167697
31,31.0,0.00319393675932,2.02532151577,13.964205756,0.918618425071
32,32.0,0.00323372715148,2.02580381969,13.8238084102,0.918617725798
33,33.0,0.00327614430736,2.02629225702,13.6799613879,0.918617071177
34,34.0,0.00332136897304,2.02678726583,13.5324575509,0.91861646269
35,35.0,0.00336960279374,2.02728930514,13.3810733928,0.918615902017
36,36.0,0.00342107134574,2.02779885688,13.2255671918,0.918615391054
37,37.0,0.00347602773434,2.02831642794,13.065676901,0.918614931931
38,38.0,0.0035347568866,2.02884255252,12.9011177286,0.918614527029
39,39.0,0.00359758070208,2.02937779466,12.7315793507,0.918614179012
40,40.0,0.00366486427122,2.02992275099,12.5567226867,0.918613890845
41,41.0,0.00373702343209,2.03047805379,12.3761761492,0.91861366583
42,42.0,0.0038145340189,2.03104437434,12.1895312613,0.91861350764
43,43.0,0.00389794326738,2.03162242669,11.9963375042,0.918613420355
44,44.0,0.00398788399685,2.03221297174,11.7960962244,0.91861340851
45,45.0,0.00408509240273,2.03281682184,11.5882533788,0.918613477143
46,46.0,0.00419043059654,2.03343484593,11.3721908364,0.918613631852
47,47.0,0.0043049154639,2.03406797518,11.1472158644,0.918613878865
48,48.0,0.00442975604178,2.03471720943,10.9125483102,0.918614225111
49,49.0,0.0045664025505,2.03538362434,10.6673048255,0.918614678307
50,50.0,0.00471661162558,2.03606837948,10.4104792406,0.918615247062
51,51.0,0.0048825344673,2.03677272738,10.1409178617,0.918615940983
52,52.0,0.005066838055,2.0374980239,9.85728796003,0.918616770818
53,53.0,0.00527287512865,2.03824573994,9.55803697243,0.918617748602
54,54.0,0.00550492790984,2.03901747472,9.24133876223,0.918618887842
55,55.0,0.00576856653004,2.03981497107,8.90502143955,0.91862020372
56,56.0,0.00607119181127,2.04064013291,8.54646818465,0.918621713346
57,57.0,0.00642288578976,2.04149504538,8.16247730259,0.918623436042
58,58.0,0.00683779946415,2.04238199805,7.74905841331,0.918625393683
59,59.0,0.0073365299927,2.043303512,7.30112411119,0.918627611104
60,60.0,0.00795044351674,2.04426237119,6.81200113854,0.91863011658
